run,nu_true,nu_pred,abs_error,rel_error_pct,best_val_loss,ic,nu_class
230,0.32553657017164656,0.05643606558442116,0.2691005045872254,82.66367875207877,0.00030599735327996314,Step_up,high
231,0.22680514644201166,0.04948870465159416,0.1773164417904175,78.1800786146415,0.0012599816545844078,N_wave,high
232,0.1987475581230026,0.04876764118671417,0.14997991693628843,75.46252057268929,0.0013450933620333672,N_wave,high
233,0.0315993268448318,0.03729715943336487,0.005697832588533069,18.03149990033719,0.00010731355723692104,Step_up,low
234,0.13973873473859388,0.13542474806308746,0.0043139866755064205,3.0871802893997136,7.4334725468361285e-06,Gauss,high
235,0.02407087902175347,0.025457436218857765,0.0013865571971042948,5.76030977452559,4.300221553421579e-05,Step_down,low
236,0.04224967058870742,0.03686313331127167,0.005386537277435752,12.749300059336976,4.874870501225814e-05,Step_down,low
237,0.4781668689571787,0.12069552391767502,0.3574713450395037,74.7587020863874,0.0005968190380372107,Step_up,high
238,0.0385011053147337,0.04781799763441086,0.00931689231967716,24.19902556956397,0.0009198798215948045,N_wave,low
239,0.016530779627023623,0.02135913074016571,0.0048283511131420875,29.208248020250423,8.641124441055581e-05,Step_down,low
240,0.15317546057376835,0.18560756742954254,0.03243210685577419,21.173174041252572,0.0004131165042053908,Step_down,high
241,0.033904975175409295,0.04535488784313202,0.011449912667722724,33.77059740786111,2.099454650306143e-05,Gauss,low
242,0.3902381595882542,0.05411342903971672,0.3361247305485375,86.13322974441748,0.0008242389303632081,Step_up,high
243,0.20857732521635208,0.30716052651405334,0.09858320129770126,47.26458218574015,0.00027475907700136304,Step_down,high
244,0.022862379908775873,0.03785644844174385,0.014994068532967978,65.58402315417918,2.7826630685012788e-05,Gauss,low
245,0.32932367123308426,0.17071007192134857,0.1586135993117357,48.16343711881989,0.000201064336579293,Step_up,high
246,0.1196230633459808,0.11993203312158585,0.0003089697756050447,0.25828612557047154,9.228731869370677e-06,Gauss,high
247,0.04434208134548829,0.050247061997652054,0.005904980652163765,13.316877496470028,1.6764079191489145e-05,Gauss,low
248,0.10566322077108486,0.0602116622030735,0.04545155856801136,43.015496060337156,0.00017454454791732132,Step_up,high
249,0.03774984359458504,0.046333298087120056,0.008583454492535017,22.737722001492624,5.9241556300548837e-05,Step_up,low
250,0.455989934605745,0.4081704020500183,0.047819532555726685,10.486971076910304,7.434506642312044e-06,Gauss,high
251,0.23696258633691436,0.2288583368062973,0.008104249530617058,3.4200544718457806,2.4947630663518794e-06,Gauss,high
252,0.3099703254870012,0.03273112326860428,0.27723920221839693,89.44056234506328,0.0007131535094231367,Step_up,high
253,0.04685463052376482,0.0572238564491272,0.01036922592536238,22.130632147665906,9.371850865136366e-06,Gauss,low
